crisis,model,start,end,period_return,max_drawdown,average_exposure
2015 Crash,BuyHold,2015-01-05,2015-09-15,-0.020260661738839336,-0.44072759668185535,1.0
2015 Crash,V0,2015-01-05,2015-09-15,-0.014401642988244201,-0.11501672467979174,0.16162790697674417
2015 Crash,V1,2015-01-05,2015-09-15,0.031244902197745006,-0.09280865646860814,0.15426944867820627
2015 Crash,V2,2015-01-05,2015-09-15,-0.02113653101088453,-0.14115555009710457,0.15050605196502373
2015 Crash,V3,2015-01-05,2015-09-15,-0.040528546760195794,-0.06165852318797849,0.03137301984093734
2018 Bear,BuyHold,2018-01-02,2019-01-04,-0.1775887236829199,-0.2708301693562153,1.0
2018 Bear,V0,2018-01-02,2019-01-04,-0.07089284449883404,-0.1070044054571202,0.4703252032520325
2018 Bear,V1,2018-01-02,2019-01-04,-0.050148377306462266,-0.0923823040560473,0.4636099873732567
2018 Bear,V2,2018-01-02,2019-01-04,-0.053890971208665595,-0.095513673968872,0.44867510123565657
2018 Bear,V3,2018-01-02,2019-01-04,-0.029345965245828776,-0.10965157392623304,0.41419995371654156
2020 COVID,BuyHold,2020-01-20,2020-03-23,-0.14179110871222822,-0.14179110871222822,1.0
2020 COVID,V0,2020-01-20,2020-03-23,-0.139177619862758,-0.139177619862758,0.99
2020 COVID,V1,2020-01-20,2020-03-23,-0.11683026876798086,-0.13395207691210353,0.9796927944534144
2020 COVID,V2,2020-01-20,2020-03-23,-0.11684047760716865,-0.13395207691210353,0.9797010677906248
2020 COVID,V3,2020-01-20,2020-03-23,-0.14179110871222833,-0.14179110871222833,1.0
2022 Bear,BuyHold,2022-01-04,2022-10-31,-0.08833216530346755,-0.1263436376644297,1.0
2022 Bear,V0,2022-01-04,2022-10-31,-0.08199690528486725,-0.12634363766442958,0.9752525252525253
2022 Bear,V1,2022-01-04,2022-10-31,-0.08794988153964967,-0.12634363766442958,0.972180926234583
2022 Bear,V2,2022-01-04,2022-10-31,-0.08526481038842948,-0.12634363766442958,0.9785062210608882
2022 Bear,V3,2022-01-04,2022-10-31,-0.08833216530346766,-0.1263436376644297,1.0
