date,h00922,spread,s2_score,signal_used,nav,cash,shares,position,exposure,trade_action
2014-07-11,2909.97,0.7703000000000007,0.8690476190476191,0.8690476190476191,100000.0,19999.999999999996,27.491692354216713,0.8,0.8,NONE
2014-07-14,2960.4,0.9594999999999994,0.9723320158102768,,101386.40604542317,19999.999999999996,27.491692354216713,0.8,0.8027348953365642,NONE
2014-07-15,2966.9,0.9169,0.9645669291338582,,101565.10204572557,19999.999999999996,27.491692354216713,0.8,0.8030819681449657,NONE
2014-07-16,2953.69,0.8464999999999998,0.9215686274509804,,101201.93678972636,19999.999999999996,27.491692354216713,0.8,0.8023753236901457,NONE
2014-07-17,2939.94,1.0438,0.98046875,,100823.92601985589,19999.999999999996,27.491692354216713,0.8,0.8016343859089431,NONE
2014-07-18,2953.04,1.1142000000000003,0.980544747081712,,101184.06718969613,19999.999999999996,27.491692354216713,0.8,0.8023404222079278,NONE
2014-07-21,2944.22,1.1368999999999998,0.9844961240310076,,100941.59046313193,19999.999999999996,27.491692354216713,0.8,0.8018656144782578,NONE
2014-07-22,2995.74,1.0812,0.972972972972973,,102357.96245322117,19999.999999999996,27.491692354216713,0.8,0.8046072868132732,NONE
2014-07-23,2994.99,1.0366999999999995,0.9653846153846154,,102337.3436839555,19999.999999999996,27.491692354216713,0.8,0.8045679193925022,NONE
2014-07-24,3031.37,0.9116,0.942528735632184,,103337.49145180192,19999.999999999996,27.491692354216713,0.8,0.8064594009490903,NONE
2014-07-25,3068.14,0.9005000000000001,0.9389312977099236,,104348.36097966647,19999.999999999996,27.491692354216713,0.8,0.8083343158221983,NONE
2014-07-28,3136.03,0.7808000000000002,0.8365019011406845,,106214.77197359425,19999.999999999996,27.491692354216713,0.8,0.8117022742846716,NONE
2014-07-29,3169.33,0.8334000000000001,0.8825757575757576,,107130.24532898965,19999.999999999996,27.491692354216713,0.8,0.8133113581642479,NONE
2014-07-30,3156.19,0.8216000000000001,0.8679245283018868,,106769.00449145526,19999.999999999996,27.491692354216713,0.8,0.8126797182828411,NONE
2014-07-31,3191.15,0.7787999999999995,0.8270676691729323,,107730.11405615867,19999.999999999996,27.491692354216713,0.8,0.8143508880945378,NONE
2014-08-01,3167.4,0.8066000000000004,0.8539325842696629,0.8270676691729323,107077.18636274603,21415.437272549196,27.044815650122125,0.8,0.8,SELL
2014-08-04,3218.88,0.7352999999999996,0.7910447761194029,,108469.4534724143,21415.437272549196,27.044815650122125,0.8,0.8025671137174529,NONE
2014-08-05,3218.35,0.7500999999999998,0.8029739776951673,,108455.11972011974,21415.437272549196,27.044815650122125,0.8,0.8025410203979851,NONE
2014-08-06,3227.71,0.7826000000000004,0.8296296296296296,,108708.25919460488,21415.437272549196,27.044815650122125,0.8,0.8030008259610505,NONE
2014-08-07,3186.96,0.8513999999999999,0.9003690036900369,,107606.18295686241,21415.437272549196,27.044815650122125,0.8,0.8009832085472792,NONE
2014-08-08,3198.3,0.8198999999999996,0.8639705882352942,,107912.8711663348,21415.437272549196,27.044815650122125,0.8,0.8015488139543626,NONE
